g_motor_norm,Q_active_cat,Q_active_dog
0.6111,21.8578,10.286
0.613,21.9653,10.3366
0.6149,22.0739,10.3877
0.6168,22.1836,10.4393
0.6187,22.2943,10.4915
0.6206,22.4062,10.5441
0.6225,22.5192,10.5973
0.6244,22.6334,10.651
0.6264,22.7487,10.7053
0.6283,22.8652,10.7601
0.6302,22.9829,10.8155
0.6321,23.1019,10.8715
0.634,23.222,10.928
0.6359,23.3434,10.9851
0.6378,23.4661,11.0429
0.6397,23.5901,11.1012
0.6416,23.7154,11.1602
0.6435,23.842,11.2198
0.6454,23.97,11.28
0.6473,24.0994,11.3409
0.6492,24.2302,11.4025
0.6511,24.3624,11.4647
0.653,24.4961,11.5276
0.6549,24.6312,11.5912
0.6568,24.7679,11.6555
0.6587,24.906,11.7205
0.6606,25.0458,11.7862
0.6625,25.1871,11.8527
0.6644,25.3299,11.92
0.6663,25.4745,11.988
0.6682,25.6207,12.0568
0.6701,25.7685,12.1264
0.672,25.9181,12.1968
0.6739,26.0695,12.268
0.6759,26.2226,12.34
0.6778,26.3775,12.4129
0.6797,26.5343,12.4867
0.6816,26.6929,12.5614
0.6835,26.8534,12.6369
0.6854,27.0159,12.7134
0.6873,27.1804,12.7908
0.6892,27.3469,12.8691
0.6911,27.5154,12.9484
0.693,27.686,13.0287
0.6949,27.8588,13.11
0.6968,28.0337,13.1923
0.6987,28.2108,13.2757
0.7006,28.3902,13.3601
0.7025,28.5719,13.4456
0.7044,28.7559,13.5322
0.7063,28.9423,13.6199
0.7082,29.1312,13.7088
0.7101,29.3225,13.7988
0.712,29.5164,13.89
0.7139,29.7128,13.9825
0.7158,29.9118,14.0762
0.7177,30.1136,14.1711
0.7196,30.3181,14.2673
0.7215,30.5254,14.3649
0.7234,30.7355,14.4638
0.7254,30.9486,14.564
0.7273,31.1646,14.6657
0.7292,31.3836,14.7688
0.7311,31.6058,14.8733
0.733,31.8311,14.9794
0.7349,32.0597,15.0869
0.7368,32.2916,15.196
0.7387,32.5268,15.3067
0.7406,32.7655,15.4191
0.7425,33.0078,15.5331
0.7444,33.2536,15.6488
0.7463,33.5032,15.7662
0.7482,33.7565,15.8854
0.7501,34.0136,16.0064
0.752,34.2747,16.1293
0.7539,34.5399,16.2541
0.7558,34.8092,16.3808
0.7577,35.0827,16.5095
0.7596,35.3606,16.6403
0.7615,35.6429,16.7731
0.7634,35.9297,16.9081
0.7653,36.2212,17.0453
0.7672,36.5174,17.1847
0.7691,36.8186,17.3264
0.771,37.1247,17.4705
0.7729,37.436,17.6169
0.7748,37.7526,17.7659
0.7768,38.0745,17.9174
0.7787,38.402,18.0715
0.7806,38.7352,18.2283
0.7825,39.0742,18.3878
0.7844,39.4191,18.5502
0.7863,39.7703,18.7154
0.7882,40.1277,18.8836
0.7901,40.4916,19.0549
0.792,40.8622,19.2293
0.7939,41.2397,19.4069
0.7958,41.6241,19.5878
0.7977,42.0158,19.7722
0.7996,42.415,19.96
0.8015,42.8218,20.1514
0.8034,43.2365,20.3466
0.8053,43.6593,20.5455
0.8072,44.0904,20.7484
0.8091,44.5302,20.9554
0.811,44.9788,21.1665
0.8129,45.4365,21.3819
0.8148,45.9037,21.6017
0.8167,46.3805,21.8261
0.8186,46.8674,22.0552
0.8205,47.3646,22.2892
0.8224,47.8725,22.5282
0.8243,48.3913,22.7724
0.8263,48.9216,23.0219
0.8282,49.4636,23.277
0.8301,50.0177,23.5377
0.832,50.5844,23.8044
0.8339,51.1641,24.0772
0.8358,51.7572,24.3563
0.8377,52.3642,24.642
0.8396,52.9856,24.9344
0.8415,53.622,25.2339
0.8434,54.2738,25.5406
0.8453,54.9417,25.8549
0.8472,55.6262,26.177
0.8491,56.328,26.5073
0.851,57.0477,26.846
0.8529,57.7861,27.1935
0.8548,58.5438,27.55
0.8567,59.3217,27.9161
0.8586,60.1205,28.292
0.8605,60.9411,28.6782
0.8624,61.7844,29.075
0.8643,62.6514,29.483
0.8662,63.5431,29.9026
0.8681,64.4605,30.3343
0.87,65.4048,30.7787
0.8719,66.3772,31.2363
0.8738,67.3789,31.7077
0.8758,68.4113,32.1935
0.8777,69.4758,32.6945
0.8796,70.574,33.2113
0.8815,71.7075,33.7447
0.8834,72.878,34.2955
0.8853,74.0873,34.8646
0.8872,75.3375,35.4529
0.8891,76.6305,36.0614
0.891,77.9687,36.6912
0.8929,79.3545,37.3433
0.8948,80.7905,38.019
0.8967,82.2793,38.7197
0.8986,83.8241,39.4466
0.9005,85.428,40.2014
0.9024,87.0945,40.9856
0.9043,88.8272,41.801
0.9062,90.6303,42.6496
0.9081,92.5082,43.5333
0.91,94.4655,44.4543
0.9119,96.5074,45.4152
0.9138,98.6395,46.4186
0.9157,100.868,47.4673
0.9176,103.1995,48.5645
0.9195,105.6413,49.7136
0.9214,108.2015,50.9184
0.9233,110.8889,52.183
0.9253,113.7131,53.5121
0.9272,116.685,54.9106
0.9291,119.8164,56.3842
0.931,123.1205,57.939
0.9329,126.6119,59.5821
0.9348,130.3072,61.321
0.9367,134.2247,63.1646
0.9386,138.385,65.1223
0.9405,142.8114,67.2054
0.9424,147.5304,69.4261
0.9443,152.5719,71.7986
0.9462,157.9702,74.3389
0.9481,163.7645,77.0656
0.95,170.0,80.0
