x_m,p_Pa
0.84606,101324.48922
0.84856,101324.47198
0.85106,101324.454955
0.85357,101324.438152
0.85607,101324.421578
0.85857,101324.405239
0.86108,101324.389142
0.86358,101324.373294
0.86608,101324.3577
0.86859,101324.342369
0.87109,101324.327305
0.87359,101324.312514
0.8761,101324.298004
0.8786,101324.283779
0.8811,101324.269846
0.8836,101324.25621
0.88611,101324.242877
0.88861,101324.229852
0.89111,101324.21714
0.89362,101324.204747
0.89612,101324.192678
0.89862,101324.180938
0.90113,101324.16953
0.90363,101324.158461
0.90613,101324.147735
0.90864,101324.137355
0.91114,101324.127326
0.91364,101324.117653
0.91615,101324.108338
0.91865,101324.099387
0.92115,101324.090802
0.92365,101324.082588
0.92616,101324.074746
0.92866,101324.067282
0.93116,101324.060197
0.93367,101324.053494
0.93617,101324.047177
0.93867,101324.041247
0.94118,101324.035708
0.94368,101324.030562
0.94618,101324.025809
0.94869,101324.021454
0.95119,101324.017497
0.95369,101324.013939
0.9562,101324.010783
0.9587,101324.00803
0.9612,101324.00568
0.9637,101324.003735
0.96621,101324.002196
0.96871,101324.001063
0.97121,101324.000336
0.97372,101324.000017
0.97622,101324.000104
0.97872,101324.000598
0.98123,101324.001499
0.98373,101324.002807
0.98623,101324.00452
0.98874,101324.006639
0.99124,101324.009162
0.99374,101324.012088
0.99625,101324.015416
0.99875,101324.019145
1.00125,101324.023274
1.00375,101324.0278
1.00626,101324.032721
1.00876,101324.038036
1.01126,101324.043743
1.01377,101324.049839
1.01627,101324.056322
1.01877,101324.063189
1.02128,101324.070437
1.02378,101324.078064
1.02628,101324.086066
1.02879,101324.09444
1.03129,101324.103182
1.03379,101324.11229
1.0363,101324.121759
1.0388,101324.131585
1.0413,101324.141765
1.0438,101324.152294
1.04631,101324.163168
1.04881,101324.174383
1.05131,101324.185934
1.05382,101324.197816
1.05632,101324.210024
1.05882,101324.222555
1.06133,101324.235401
1.06383,101324.248559
1.06633,101324.262023
1.06884,101324.275787
1.07134,101324.289846
1.07384,101324.304194
1.07635,101324.318825
1.07885,101324.333734
1.08135,101324.348913
1.08385,101324.364358
1.08636,101324.380061
1.08886,101324.396017
1.09136,101324.412218
1.09387,101324.428659
1.09637,101324.445333
1.09887,101324.462232
1.10138,101324.47935
1.10388,101324.49668
1.10638,101324.514214
1.10889,101324.531947
1.11139,101324.54987
1.11389,101324.567976
1.1164,101324.586258
1.1189,101324.604709
1.1214,101324.62332
1.1239,101324.642085
1.12641,101324.660995
1.12891,101324.680044
1.13141,101324.699222
1.13392,101324.718523
1.13642,101324.737939
1.13892,101324.757461
1.14143,101324.777082
1.14393,101324.796794
1.14643,101324.816589
1.14894,101324.836458
1.15144,101324.856393
1.15394,101324.876387
1.15645,101324.896432
1.15895,101324.916518
1.16145,101324.936639
1.16395,101324.956785
1.16646,101324.976949
1.16896,101324.997123
1.17146,101325.017297
1.17397,101325.037465
1.17647,101325.057617
1.17897,101325.077746
1.18148,101325.097843
1.18398,101325.1179
1.18648,101325.137909
1.18899,101325.157863
1.19149,101325.177752
1.19399,101325.197568
1.1965,101325.217304
1.199,101325.236952
1.2015,101325.256503
1.20401,101325.27595
1.20651,101325.295285
1.20901,101325.314499
1.21151,101325.333585
1.21402,101325.352536
1.21652,101325.371343
1.21902,101325.389999
1.22153,101325.408496
1.22403,101325.426827
1.22653,101325.444984
1.22904,101325.46296
1.23154,101325.480748
1.23404,101325.49834
1.23655,101325.515729
1.23905,101325.532908
1.24155,101325.54987
1.24406,101325.566608
1.24656,101325.583116
1.24906,101325.599387
1.25156,101325.615413
1.25407,101325.631189
1.25657,101325.646708
1.25907,101325.661964
1.26158,101325.676951
1.26408,101325.691661
1.26658,101325.706091
1.26909,101325.720233
1.27159,101325.734082
1.27409,101325.747632
1.2766,101325.760877
1.2791,101325.773813
1.2816,101325.786434
1.28411,101325.798735
1.28661,101325.810711
1.28911,101325.822357
1.29161,101325.833668
1.29412,101325.84464
1.29662,101325.855268
1.29912,101325.865547
1.30163,101325.875475
1.30413,101325.885046
1.30663,101325.894257
1.30914,101325.903104
1.31164,101325.911583
1.31414,101325.919692
1.31665,101325.927426
1.31915,101325.934782
1.32165,101325.941758
1.32416,101325.948351
1.32666,101325.954557
1.32916,101325.960376
1.33166,101325.965803
1.33417,101325.970837
1.33667,101325.975476
1.33917,101325.979718
1.34168,101325.983561
1.34418,101325.987004
1.34668,101325.990045
1.34919,101325.992683
1.35169,101325.994917
1.35419,101325.996746
1.3567,101325.998169
1.3592,101325.999186
1.3617,101325.999797
1.36421,101326.0
1.36671,101325.999796
1.36921,101325.999186
1.37171,101325.998169
1.37422,101325.996745
1.37672,101325.994916
1.37922,101325.992681
1.38173,101325.990043
1.38423,101325.987002
1.38673,101325.983559
1.38924,101325.979716
1.39174,101325.975473
1.39424,101325.970834
1.39675,101325.9658
1.39925,101325.960372
1.40175,101325.954554
1.40426,101325.948347
1.40676,101325.941754
1.40926,101325.934778
1.41176,101325.927421
1.41427,101325.919687
1.41677,101325.911579
1.41927,101325.903099
1.42178,101325.894252
1.42428,101325.885041
1.42678,101325.875469
1.42929,101325.865542
1.43179,101325.855262
1.43429,101325.844633
1.4368,101325.833661
1.4393,101325.82235
1.4418,101325.810704
1.44431,101325.798728
1.44681,101325.786427
1.44931,101325.773806
1.45181,101325.76087
1.45432,101325.747624
1.45682,101325.734074
1.45932,101325.720225
1.46183,101325.706083
1.46433,101325.691653
1.46683,101325.676942
1.46934,101325.661956
1.47184,101325.6467
1.47434,101325.63118
1.47685,101325.615404
1.47935,101325.599378
1.48185,101325.583107
1.48436,101325.566599
1.48686,101325.54986
