t_s,x,dx_dt
0.12053,-1.202354,-50.209934
0.12078,-1.214872,-49.911644
0.12103,-1.227316,-49.610275
0.12128,-1.239683,-49.305843
0.12153,-1.251975,-48.998369
0.12178,-1.264188,-48.68787
0.122031,-1.276324,-48.374367
0.122281,-1.288381,-48.057879
0.122531,-1.300359,-47.738424
0.122781,-1.312256,-47.416023
0.123031,-1.324073,-47.090696
0.123281,-1.335807,-46.762463
0.123531,-1.34746,-46.431344
0.123781,-1.359029,-46.097359
0.124031,-1.370514,-45.760529
0.124281,-1.381914,-45.420875
0.124531,-1.39323,-45.078418
0.124781,-1.404459,-44.733179
0.125031,-1.415602,-44.385179
0.125281,-1.426657,-44.03444
0.125531,-1.437624,-43.680983
0.125781,-1.448503,-43.324831
0.126032,-1.459292,-42.966005
0.126282,-1.469991,-42.604527
0.126532,-1.480599,-42.240419
0.126782,-1.491116,-41.873705
0.127032,-1.501541,-41.504407
0.127282,-1.511873,-41.132547
0.127532,-1.522112,-40.758148
0.127782,-1.532257,-40.381234
0.128032,-1.542308,-40.001828
0.128282,-1.552263,-39.619953
0.128532,-1.562122,-39.235634
0.128782,-1.571885,-38.848892
0.129032,-1.581551,-38.459753
0.129282,-1.59112,-38.068241
0.129532,-1.60059,-37.674379
0.129782,-1.609962,-37.278192
0.130033,-1.619234,-36.879704
0.130283,-1.628406,-36.47894
0.130533,-1.637478,-36.075925
0.130783,-1.646448,-35.670684
0.131033,-1.655317,-35.263241
0.131283,-1.664084,-34.853622
0.131533,-1.672748,-34.441851
0.131783,-1.681309,-34.027955
0.132033,-1.689766,-33.61196
0.132283,-1.698119,-33.193889
0.132533,-1.706367,-32.77377
0.132783,-1.71451,-32.351629
0.133033,-1.722547,-31.927491
0.133283,-1.730477,-31.501382
0.133533,-1.738301,-31.07333
0.133783,-1.746018,-30.643359
0.134034,-1.753627,-30.211498
0.134284,-1.761127,-29.777772
0.134534,-1.768519,-29.342208
0.134784,-1.775802,-28.904833
0.135034,-1.782975,-28.465675
0.135284,-1.790038,-28.024759
0.135534,-1.796991,-27.582115
0.135784,-1.803832,-27.137767
0.136034,-1.810563,-26.691746
0.136284,-1.817182,-26.244076
0.136534,-1.823688,-25.794787
0.136784,-1.830082,-25.343906
0.137034,-1.836363,-24.891462
0.137284,-1.842531,-24.43748
0.137534,-1.848585,-23.981991
0.137784,-1.854525,-23.525022
0.138035,-1.86035,-23.0666
