x_cat_mm,f_cat_Hz,x_dog_mm,f_dog_Hz
13.778,5617.47,17.635,4258.43
13.828,5686.02,17.699,4310.56
13.878,5755.4,17.764,4363.33
13.928,5825.63,17.828,4416.75
13.978,5896.72,17.892,4470.81
14.028,5968.67,17.956,4525.54
14.078,6041.5,18.02,4580.94
14.128,6115.22,18.084,4637.02
14.178,6189.84,18.148,4693.79
14.228,6265.37,18.212,4751.25
14.279,6341.82,18.277,4809.41
14.329,6419.21,18.341,4868.29
14.379,6497.54,18.405,4927.88
14.429,6576.82,18.469,4988.21
14.479,6657.07,18.533,5049.27
14.529,6738.3,18.597,5111.08
14.579,6820.53,18.661,5173.65
14.629,6903.75,18.725,5236.99
14.679,6987.99,18.79,5301.09
14.729,7073.26,18.854,5365.99
14.78,7159.57,18.918,5431.68
14.83,7246.94,18.982,5498.17
14.88,7335.37,19.046,5565.48
14.93,7424.87,19.11,5633.61
14.98,7515.47,19.174,5702.57
15.03,7607.18,19.238,5772.38
15.08,7700.01,19.303,5843.05
15.13,7793.96,19.367,5914.57
15.18,7889.07,19.431,5986.98
15.23,7985.33,19.495,6060.27
15.281,8082.77,19.559,6134.46
15.331,8181.4,19.623,6209.55
15.381,8281.23,19.687,6285.57
15.431,8382.28,19.752,6362.51
15.481,8484.56,19.816,6440.4
15.531,8588.1,19.88,6519.24
15.581,8692.89,19.944,6599.05
15.631,8798.96,20.008,6679.83
15.681,8906.33,20.072,6761.61
15.731,9015.01,20.136,6844.38
15.782,9125.01,20.2,6928.17
15.832,9236.36,20.265,7012.98
15.882,9349.06,20.329,7098.83
15.932,9463.14,20.393,7185.73
15.982,9578.61,20.457,7273.69
16.032,9695.5,20.521,7362.74
16.082,9813.8,20.585,7452.87
16.132,9933.55,20.649,7544.1
16.182,10054.77,20.713,7636.46
16.232,10177.46,20.778,7729.94
16.283,10301.64,20.842,7824.57
16.333,10427.35,20.906,7920.35
16.383,10554.59,20.97,8017.31
16.433,10683.38,21.034,8115.46
16.483,10813.74,21.098,8214.8
16.533,10945.69,21.162,8315.37
16.583,11079.25,21.226,8417.16
16.633,11214.44,21.291,8520.2
16.683,11351.29,21.355,8624.5
16.733,11489.8,21.419,8730.08
16.784,11630.0,21.483,8836.95
16.834,11771.91,21.547,8945.13
16.884,11915.56,21.611,9054.63
16.934,12060.95,21.675,9165.48
16.984,12208.12,21.739,9277.68
17.034,12357.09,21.804,9391.25
17.084,12507.88,21.868,9506.22
17.134,12660.5,21.932,9622.59
17.184,12814.99,21.996,9740.39
17.234,12971.36,22.06,9859.63
17.285,13129.64,22.124,9980.32
17.335,13289.85,22.188,10102.5
17.385,13452.02,22.253,10226.17
17.435,13616.16,22.317,10351.36
17.485,13782.31,22.381,10478.07
17.535,13950.49,22.445,10606.34
17.585,14120.71,22.509,10736.18
17.635,14293.02,22.573,10867.61
17.685,14467.43,22.637,11000.65
17.735,14643.96,22.701,11135.32
17.786,14822.65,22.766,11271.63
17.836,15003.52,22.83,11409.61
17.886,15186.6,22.894,11549.29
17.936,15371.91,22.958,11690.67
17.986,15559.48,23.022,11833.78
18.036,15749.34,23.086,11978.65
18.086,15941.52,23.15,12125.29
18.136,16136.05,23.214,12273.72
18.186,16332.94,23.279,12423.97
18.236,16532.24,23.343,12576.06
18.287,16733.97,23.407,12730.01
18.337,16938.17,23.471,12885.85
18.387,17144.85,23.535,13043.59
18.437,17354.06,23.599,13203.27
18.487,17565.81,23.663,13364.9
18.537,17780.16,23.727,13528.51
