t_ms,u_cat_D0.029,u_dog_D0.071
1.02051,0.175384,0.366368
1.02301,0.177123,0.367564
1.02551,0.179063,0.368913
1.02801,0.181204,0.370415
1.03052,0.183545,0.372068
1.03302,0.186085,0.373873
1.03552,0.188824,0.375828
1.03802,0.191761,0.377933
1.04052,0.194894,0.380187
1.04302,0.198224,0.382588
1.04552,0.201748,0.385137
1.04802,0.205466,0.387831
1.05053,0.209377,0.39067
1.05303,0.213479,0.393654
1.05553,0.217772,0.39678
1.05803,0.222253,0.400048
1.06053,0.226923,0.403456
1.06303,0.231779,0.407005
1.06553,0.236821,0.410691
1.06803,0.242046,0.414515
1.07054,0.247453,0.418474
1.07304,0.253041,0.422569
1.07554,0.258809,0.426796
1.07804,0.264754,0.431155
1.08054,0.270875,0.435645
1.08304,0.27717,0.440264
1.08554,0.283638,0.445011
1.08804,0.290277,0.449884
1.09055,0.297085,0.454882
1.09305,0.304061,0.460003
1.09555,0.311201,0.465246
1.09805,0.318505,0.470609
1.10055,0.325971,0.476091
1.10305,0.333596,0.481689
1.10555,0.341378,0.487403
1.10805,0.349316,0.493231
1.11056,0.357407,0.49917
1.11306,0.36565,0.50522
1.11556,0.374041,0.511378
1.11806,0.382579,0.517643
1.12056,0.391262,0.524013
1.12306,0.400087,0.530486
1.12556,0.409052,0.53706
1.12806,0.418154,0.543734
1.13057,0.427392,0.550505
1.13307,0.436762,0.557373
1.13557,0.446263,0.564333
1.13807,0.455892,0.571386
1.14057,0.465646,0.578529
1.14307,0.475523,0.58576
1.14557,0.485521,0.593076
1.14807,0.495636,0.600477
1.15058,0.505867,0.60796
1.15308,0.516209,0.615522
1.15558,0.526662,0.623163
1.15808,0.537222,0.630879
1.16058,0.547887,0.638669
1.16308,0.558653,0.646531
1.16558,0.569518,0.654462
1.16808,0.58048,0.662461
1.17059,0.591535,0.670525
1.17309,0.60268,0.678652
1.17559,0.613914,0.68684
1.17809,0.625232,0.695087
1.18059,0.636632,0.703391
1.18309,0.648112,0.71175
1.18559,0.659668,0.720161
1.18809,0.671297,0.728622
1.1906,0.682996,0.737131
1.1931,0.694763,0.745686
1.1956,0.706595,0.754284
1.1981,0.718488,0.762924
1.2006,0.730439,0.771602
1.2031,0.742446,0.780318
1.2056,0.754505,0.789068
1.2081,0.766614,0.797851
1.21061,0.77877,0.806664
1.21311,0.790968,0.815505
1.21561,0.803207,0.824371
1.21811,0.815484,0.833261
1.22061,0.827794,0.842172
1.22311,0.840136,0.851103
1.22561,0.852506,0.860049
1.22811,0.8649,0.869011
1.23062,0.877317,0.877984
1.23312,0.889752,0.886968
1.23562,0.902203,0.895959
1.23812,0.914667,0.904956
1.24062,0.92714,0.913956
1.24312,0.93962,0.922957
1.24562,0.952103,0.931957
1.24812,0.964587,0.940953
1.25063,0.977068,0.949944
1.25313,0.989542,0.958927
1.25563,1.002008,0.9679
1.25813,1.014462,0.976861
1.26063,1.026901,0.985807
1.26313,1.039321,0.994737
1.26563,1.051721,1.003648
1.26813,1.064096,1.012539
1.27064,1.076444,1.021406
1.27314,1.088762,1.030248
1.27564,1.101046,1.039063
1.27814,1.113294,1.047848
1.28064,1.125503,1.056602
1.28314,1.137669,1.065322
1.28564,1.149791,1.074007
1.28814,1.161864,1.082654
1.29065,1.173886,1.091261
1.29315,1.185854,1.099826
1.29565,1.197765,1.108348
1.29815,1.209616,1.116823
1.30065,1.221404,1.125251
1.30315,1.233127,1.133629
1.30565,1.244782,1.141955
