f_Hz,H_cat,H_dog
933.42,7.145225,5.39531
935.87,7.363271,5.480955
938.32,7.593991,5.567413
940.77,7.838328,5.654505
943.22,8.097285,5.742023
945.67,8.371923,5.829733
948.12,8.663354,5.917369
950.58,8.972722,6.004634
953.03,9.301187,6.091198
955.48,9.649886,6.176698
957.93,10.019886,6.260738
960.38,10.412111,6.342891
962.83,10.827245,6.422699
965.28,11.265595,6.499679
967.73,11.726914,6.573323
970.19,12.210164,6.643109
972.64,12.713226,6.708502
975.09,13.232548,6.768966
977.54,13.762742,6.823971
979.99,14.296179,6.873004
982.44,14.822634,6.915581
984.89,15.329097,6.951253
987.34,15.799895,6.979624
989.79,16.217277,7.000356
992.25,16.562592,7.013179
994.7,16.818044,7.017902
997.15,16.968827,7.014414
999.6,17.005231,7.002693
1002.05,16.924187,6.9828
1004.5,16.729797,6.954885
1006.95,16.432691,6.919178
1009.4,16.048394,6.875985
1011.86,15.595179,6.825679
1014.31,15.091933,6.768689
1016.76,14.556438,6.705494
1019.21,14.004244,6.636607
1021.66,13.448136,6.562565
1024.11,12.89806,6.483921
1026.56,12.361345,6.40123
1029.01,11.84308,6.315041
1031.47,11.346539,6.225891
1033.92,10.873588,6.134296
1036.37,10.425038,6.040746
1038.82,10.00094,5.945703
1041.27,9.600815,5.849596
1043.72,9.223833,5.752819
1046.17,8.868944,5.655732
1048.62,8.534975,5.55866
1051.08,8.220696,5.461894
1053.53,7.924872,5.365691
1055.98,7.646289,5.270278
1058.43,7.383779,5.175851
1060.88,7.136234,5.082579
1063.33,6.902608,4.990605
1065.78,6.681922,4.900051
1068.23,6.473265,4.811015
1070.69,6.275794,4.723577
1073.14,6.088726,4.6378
1075.59,5.91134,4.553733
1078.04,5.74297,4.471411
1080.49,5.583002,4.390855
1082.94,5.430871,4.312079
1085.39,5.286056,4.235087
1087.84,5.148078,4.159873
1090.3,5.016493,4.086429
1092.75,4.890894,4.014737
1095.2,4.770904,3.944777
1097.65,4.656176,3.876523
1100.1,4.546389,3.809949
1102.55,4.441244,3.745023
1105.0,4.340468,3.681712
1107.45,4.243805,3.619983
1109.9,4.151018,3.559799
1112.36,4.061889,3.501124
1114.81,3.976214,3.44392
1117.26,3.893802,3.388152
1119.71,3.814478,3.33378
1122.16,3.738077,3.280768
1124.61,3.664445,3.229078
1127.06,3.59344,3.178674
1129.51,3.524927,3.12952
1131.97,3.458782,3.081579
1134.42,3.394887,3.034817
1136.87,3.333133,2.989199
1139.32,3.273416,2.944692
1141.77,3.215641,2.901262
1144.22,3.159715,2.858879
1146.67,3.105555,2.81751
1149.12,3.053079,2.777126
1151.58,3.002213,2.737698
1154.03,2.952885,2.699195
1156.48,2.905027,2.661592
1158.93,2.858577,2.62486
1161.38,2.813475,2.588974
1163.83,2.769664,2.553909
1166.28,2.72709,2.51964
1168.73,2.685703,2.486144
1171.19,2.645455,2.453397
1173.64,2.606301,2.421378
1176.09,2.568197,2.390065
1178.54,2.531103,2.359437
1180.99,2.494979,2.329474
1183.44,2.459789,2.300157
1185.89,2.425498,2.271468
1188.34,2.392072,2.243388
1190.8,2.35948,2.215899
1193.25,2.327691,2.188985
1195.7,2.296677,2.16263
1198.15,2.266409,2.136817
1200.6,2.236863,2.111532
1203.05,2.208012,2.086759
1205.5,2.179833,2.062485
1207.95,2.152304,2.038695
1210.41,2.125402,2.015377
1212.86,2.099106,1.992517
1215.31,2.073397,1.970103
1217.76,2.048255,1.948123
1220.21,2.023663,1.926566
1222.66,1.999603,1.905419
1225.11,1.976057,1.884673
1227.56,1.95301,1.864316
1230.02,1.930447,1.844339
1232.47,1.908352,1.824731
1234.92,1.886712,1.805483
1237.37,1.865512,1.786587
1239.82,1.84474,1.768031
1242.27,1.824383,1.74981
1244.72,1.804429,1.731912
1247.17,1.784867,1.714332
1249.62,1.765684,1.69706
1252.08,1.746871,1.680089
1254.53,1.728416,1.663412
1256.98,1.710311,1.647022
1259.43,1.692545,1.630911
1261.88,1.675108,1.615073
1264.33,1.657993,1.599502
1266.78,1.64119,1.58419
1269.23,1.624691,1.569133
1271.69,1.608489,1.554323
1274.14,1.592574,1.539755
1276.59,1.57694,1.525424
1279.04,1.561579,1.511324
1281.49,1.546486,1.49745
1283.94,1.531651,1.483797
1286.39,1.51707,1.470359
1288.84,1.502736,1.457132
1291.3,1.488643,1.444111
1293.75,1.474784,1.431291
1296.2,1.461155,1.418669
1298.65,1.447749,1.406239
1301.1,1.434562,1.393998
1303.55,1.421587,1.381942
1306.0,1.408821,1.370066
1308.45,1.396258,1.358366
1310.91,1.383893,1.34684
1313.36,1.371722,1.335483
1315.81,1.35974,1.324292
1318.26,1.347943,1.313263
1320.71,1.336328,1.302393
1323.16,1.324889,1.291678
1325.61,1.313623,1.281116
1328.06,1.302526,1.270703
1330.52,1.291594,1.260437
1332.97,1.280825,1.250314
1335.42,1.270213,1.240331
1337.87,1.259757,1.230486
1340.32,1.249452,1.220777
1342.77,1.239295,1.211199
1345.22,1.229284,1.201751
1347.67,1.219415,1.192431
1350.13,1.209685,1.183235
1352.58,1.200092,1.174162
1355.03,1.190632,1.165208
1357.48,1.181303,1.156373
1359.93,1.172102,1.147653
1362.38,1.163027,1.139046
1364.83,1.154075,1.130551
1367.28,1.145244,1.122165
1369.73,1.136531,1.113886
1372.19,1.127934,1.105712
1374.64,1.119451,1.097642
1377.09,1.111079,1.089673
1379.54,1.102817,1.081803
1381.99,1.094663,1.074032
1384.44,1.086613,1.066356
1386.89,1.078667,1.058775
1389.34,1.070822,1.051286
1391.8,1.063077,1.043888
1394.25,1.05543,1.03658
1396.7,1.047878,1.02936
1399.15,1.040421,1.022226
1401.6,1.033055,1.015177
1404.05,1.025781,1.008212
1406.5,1.018596,1.001329
1408.95,1.011498,0.994526
1411.41,1.004486,0.987802
1413.86,0.997559,0.981157
1416.31,0.990714,0.974588
1418.76,0.983951,0.968094
1421.21,0.977268,0.961675
1423.66,0.970664,0.955328
1426.11,0.964137,0.949053
1428.56,0.957687,0.942849
1431.02,0.951311,0.936714
1433.47,0.945008,0.930647
1435.92,0.938778,0.924648
1438.37,0.932619,0.918715
1440.82,0.92653,0.912847
1443.27,0.920509,0.907042
1445.72,0.914556,0.901301
1448.17,0.908669,0.895622
1450.63,0.902848,0.890004
1453.08,0.897092,0.884447
1455.53,0.891398,0.878948
1457.98,0.885767,0.873508
1460.43,0.880197,0.868125
1462.88,0.874688,0.862799
1465.33,0.869238,0.857528
1467.78,0.863846,0.852313
1470.24,0.858512,0.847151
1472.69,0.853234,0.842042
1475.14,0.848013,0.836986
1477.59,0.842846,0.831982
1480.04,0.837733,0.827029
1482.49,0.832674,0.822125
1484.94,0.827667,0.817272
1487.39,0.822711,0.812466
1489.84,0.817807,0.807709
1492.3,0.812953,0.802999
1494.75,0.808148,0.798336
1497.2,0.803391,0.793719
1499.65,0.798683,0.789147
1502.1,0.794022,0.78462
1504.55,0.789407,0.780137
1507.0,0.784839,0.775697
1509.45,0.780315,0.7713
1511.91,0.775836,0.766946
1514.36,0.771401,0.762633
1516.81,0.76701,0.758361
1519.26,0.762661,0.75413
1521.71,0.758354,0.749938
1524.16,0.754088,0.745786
1526.61,0.749864,0.741673
1529.06,0.74568,0.737598
1531.52,0.741536,0.733562
1533.97,0.73743,0.729562
1536.42,0.733364,0.725599
1538.87,0.729336,0.721673
1541.32,0.725345,0.717783
1543.77,0.721392,0.713928
1546.22,0.717475,0.710107
1548.67,0.713594,0.706322
1551.13,0.709749,0.70257
1553.58,0.70594,0.698852
1556.03,0.702165,0.695168
1558.48,0.698424,0.691516
1560.93,0.694717,0.687896
1563.38,0.691043,0.684308
1565.83,0.687403,0.680752
1568.28,0.683794,0.677227
1570.74,0.680218,0.673732
1573.19,0.676674,0.670268
1575.64,0.673161,0.666834
1578.09,0.669679,0.663429
1580.54,0.666227,0.660054
1582.99,0.662805,0.656708
1585.44,0.659414,0.65339
1587.89,0.656051,0.6501
1590.35,0.652717,0.646838
1592.8,0.649412,0.643603
1595.25,0.646136,0.640396
1597.7,0.642887,0.637215
1600.15,0.639666,0.634061
1602.6,0.636472,0.630933
1605.05,0.633305,0.627831
1607.5,0.630164,0.624755
1609.95,0.62705,0.621704
1612.41,0.623962,0.618678
1614.86,0.620899,0.615676
1617.31,0.617861,0.612699
1619.76,0.614849,0.609746
1622.21,0.611861,0.606816
1624.66,0.608898,0.603911
1627.11,0.605959,0.601028
