f_Hz,Z_cat_Ohm,Z_dog_Ohm,BP_cat,BP_dog
1157.12,1.840392,1.840509,0.005403,0.012487
1158.75,1.858314,1.85843,0.005351,0.012366
1160.39,1.876215,1.876329,0.0053,0.012248
1162.02,1.894094,1.894208,0.00525,0.012133
1163.65,1.911952,1.912064,0.005201,0.01202
1165.29,1.929789,1.9299,0.005153,0.011908
1166.92,1.947604,1.947714,0.005106,0.0118
1168.56,1.965398,1.965507,0.00506,0.011693
1170.19,1.983171,1.98328,0.005014,0.011588
1171.82,2.000924,2.001031,0.00497,0.011485
1173.46,2.018655,2.018762,0.004926,0.011384
1175.09,2.036366,2.036471,0.004883,0.011285
1176.73,2.054056,2.05416,0.004841,0.011188
1178.36,2.071725,2.071829,0.0048,0.011093
1179.99,2.089374,2.089477,0.004759,0.010999
1181.63,2.107003,2.107105,0.004719,0.010907
1183.26,2.124611,2.124712,0.00468,0.010817
1184.89,2.142199,2.142299,0.004642,0.010728
1186.53,2.159767,2.159866,0.004604,0.010641
1188.16,2.177314,2.177413,0.004567,0.010555
1189.8,2.194842,2.19494,0.004531,0.010471
1191.43,2.21235,2.212447,0.004495,0.010388
1193.06,2.229838,2.229934,0.004459,0.010306
1194.7,2.247306,2.247402,0.004425,0.010226
1196.33,2.264755,2.264849,0.004391,0.010147
1197.97,2.282184,2.282278,0.004357,0.01007
1199.6,2.299593,2.299686,0.004324,0.009994
1201.23,2.316983,2.317076,0.004292,0.009919
1202.87,2.334354,2.334446,0.00426,0.009845
1204.5,2.351705,2.351796,0.004228,0.009772
1206.14,2.369037,2.369128,0.004197,0.009701
1207.77,2.38635,2.38644,0.004167,0.00963
1209.4,2.403644,2.403734,0.004137,0.009561
1211.04,2.420919,2.421008,0.004108,0.009493
1212.67,2.438176,2.438264,0.004078,0.009426
1214.3,2.455413,2.4555,0.00405,0.009359
1215.94,2.472632,2.472718,0.004022,0.009294
1217.57,2.489832,2.489918,0.003994,0.00923
1219.21,2.507013,2.507099,0.003966,0.009167
1220.84,2.524176,2.524261,0.003939,0.009105
1222.47,2.54132,2.541405,0.003913,0.009043
1224.11,2.558446,2.55853,0.003887,0.008983
1225.74,2.575554,2.575638,0.003861,0.008923
1227.38,2.592644,2.592727,0.003835,0.008864
1229.01,2.609715,2.609798,0.00381,0.008806
1230.64,2.626769,2.62685,0.003786,0.008749
1232.28,2.643804,2.643885,0.003761,0.008693
1233.91,2.660822,2.660902,0.003737,0.008637
1235.55,2.677821,2.677901,0.003713,0.008582
1237.18,2.694803,2.694883,0.00369,0.008528
1238.81,2.711767,2.711846,0.003667,0.008475
1240.45,2.728714,2.728792,0.003644,0.008422
1242.08,2.745642,2.745721,0.003622,0.00837
1243.71,2.762554,2.762631,0.0036,0.008319
1245.35,2.779448,2.779525,0.003578,0.008268
1246.98,2.796324,2.796401,0.003556,0.008218
1248.62,2.813184,2.81326,0.003535,0.008169
1250.25,2.830026,2.830101,0.003514,0.008121
1251.88,2.846851,2.846926,0.003493,0.008073
1253.52,2.863658,2.863733,0.003472,0.008025
1255.15,2.880449,2.880524,0.003452,0.007978
1256.79,2.897223,2.897297,0.003432,0.007932
1258.42,2.91398,2.914053,0.003412,0.007887
1260.05,2.93072,2.930793,0.003393,0.007842
1261.69,2.947443,2.947516,0.003374,0.007797
1263.32,2.96415,2.964222,0.003355,0.007753
1264.95,2.98084,2.980912,0.003336,0.00771
1266.59,2.997513,2.997585,0.003317,0.007667
1268.22,3.01417,3.014241,0.003299,0.007625
1269.86,3.03081,3.030881,0.003281,0.007583
1271.49,3.047434,3.047505,0.003263,0.007541
1273.12,3.064042,3.064112,0.003245,0.0075
1274.76,3.080634,3.080703,0.003228,0.00746
1276.39,3.097209,3.097278,0.003211,0.00742
1278.03,3.113768,3.113837,0.003194,0.007381
1279.66,3.130311,3.13038,0.003177,0.007342
1281.29,3.146838,3.146906,0.00316,0.007303
1282.93,3.163349,3.163417,0.003143,0.007265
1284.56,3.179844,3.179912,0.003127,0.007227
1286.2,3.196324,3.196391,0.003111,0.00719
1287.83,3.212787,3.212854,0.003095,0.007153
1289.46,3.229235,3.229302,0.003079,0.007117
1291.1,3.245668,3.245734,0.003064,0.007081
1292.73,3.262084,3.26215,0.003048,0.007045
1294.36,3.278486,3.278551,0.003033,0.00701
1296.0,3.294871,3.294936,0.003018,0.006975
1297.63,3.311242,3.311306,0.003003,0.006941
1299.27,3.327597,3.327661,0.002988,0.006906
1300.9,3.343936,3.344,0.002974,0.006873
1302.53,3.360261,3.360324,0.002959,0.006839
