t_s,x_true_90.0Hz,x_apparent_10.0Hz
0.197849,-0.937858,-0.134745
0.198099,-0.879572,-0.119156
0.198349,-0.803719,-0.103539
0.198599,-0.711814,-0.087895
0.198849,-0.605692,-0.07223
0.1991,-0.487472,-0.056547
0.19935,-0.359517,-0.04085
0.1996,-0.224381,-0.025143
0.19985,-0.084764,-0.009429
0.2001,0.056547,0.006286
0.20035,0.196728,0.022
0.2006,0.33298,0.037709
0.20085,0.462581,0.053408
0.201101,0.582943,0.069095
0.201351,0.691663,0.084764
0.201601,0.786568,0.100412
0.201851,0.865763,0.116035
0.202101,0.927667,0.13163
0.202351,0.971043,0.147192
0.202601,0.995025,0.162718
0.202851,0.999133,0.178203
0.203102,0.983286,0.193645
0.203352,0.9478,0.209039
0.203602,0.893384,0.224381
0.203852,0.821125,0.239668
0.204102,0.732466,0.254895
0.204352,0.629178,0.27006
0.204602,0.513323,0.285158
0.204852,0.387216,0.300185
0.205103,0.253375,0.315139
0.205353,0.114474,0.330014
0.205603,-0.026714,0.344808
0.205853,-0.167368,0.359517
0.206103,-0.304679,0.374137
0.206353,-0.435905,0.388665
0.206603,-0.558425,0.403096
0.206853,-0.669792,0.417428
0.207104,-0.767781,0.431657
0.207354,-0.850436,0.44578
0.207604,-0.916105,0.459792
0.207854,-0.963477,0.473691
0.208104,-0.991606,0.487472
0.208354,-0.999931,0.501134
0.208604,-0.988283,0.514671
0.208854,-0.956898,0.528082
0.209105,-0.9064,0.541362
0.209355,-0.837799,0.554508
0.209605,-0.752466,0.567517
0.209855,-0.652103,0.580387
0.210105,-0.538716,0.593112
0.210355,-0.41457,0.605692
0.210605,-0.282144,0.618122
0.210855,-0.144082,0.630399
0.211106,-0.003143,0.64252
0.211356,0.137859,0.654483
0.211606,0.276107,0.666284
0.211856,0.408841,0.67792
0.212106,0.53341,0.689389
0.212356,0.647324,0.700688
0.212606,0.74831,0.711814
0.212856,0.834351,0.722764
0.213107,0.903727,0.733535
0.213357,0.955053,0.744126
0.213607,0.987304,0.754532
0.213857,0.999837,0.764752
0.214107,0.9924,0.774783
0.214357,0.965142,0.784623
0.214607,0.918608,0.794269
0.214857,0.853726,0.803719
0.215108,0.771794,0.812971
0.215358,0.674447,0.822021
0.215608,0.563629,0.830869
0.215858,0.441554,0.839511
0.216108,0.310661,0.847946
0.216358,0.173562,0.856172
0.216608,0.032997,0.864186
0.216858,-0.108227,0.871987
0.217109,-0.247289,0.879572
0.217359,-0.381413,0.88694
0.217609,-0.507918,0.894089
0.217859,-0.624279,0.901018
0.218109,-0.728172,0.907723
