alpha_pct,Keff_p10bar_MPa,Keff_p50bar_MPa,Keff_p100bar_MPa,Keff_p200bar_MPa,Keff_p350bar_MPa
0.361,234.233,732.297,1016.493,1306.923,1566.076
0.371,228.862,721.706,1006.244,1298.421,1559.086
0.381,223.731,711.417,996.200,1290.029,1552.158
0.391,218.826,701.417,986.354,1281.745,1545.291
0.401,214.131,691.694,976.701,1273.567,1538.485
0.411,209.633,682.237,967.235,1265.493,1531.739
0.421,205.320,673.035,957.951,1257.520,1525.051
0.431,201.181,664.079,948.843,1249.647,1518.422
0.441,197.206,655.357,939.907,1241.872,1511.850
0.451,193.384,646.861,931.138,1234.193,1505.334
0.461,189.708,638.583,922.531,1226.608,1498.875
0.471,186.169,630.515,914.081,1219.116,1492.470
0.481,182.760,622.647,905.785,1211.715,1486.121
0.491,179.474,614.974,897.638,1204.404,1479.825
0.501,176.303,607.487,889.636,1197.180,1473.582
0.511,173.243,600.180,881.776,1190.042,1467.391
0.521,170.287,593.047,874.053,1182.989,1461.253
0.531,167.430,586.082,866.465,1176.019,1455.165
0.541,164.667,579.278,859.007,1169.131,1449.128
0.551,161.994,572.631,851.676,1162.322,1443.141
0.561,159.407,566.134,844.470,1155.593,1437.203
0.571,156.901,559.783,837.384,1148.941,1431.314
0.581,154.472,553.573,830.416,1142.366,1425.473
0.591,152.118,547.499,823.564,1135.865,1419.679
0.601,149.834,541.557,816.823,1129.437,1413.932
0.611,147.618,535.743,810.192,1123.082,1408.232
0.621,145.466,530.052,803.668,1116.799,1402.577
0.631,143.376,524.481,797.248,1110.585,1396.968
0.641,141.346,519.026,790.929,1104.440,1391.403
0.651,139.372,513.683,784.710,1098.362,1385.883
0.661,137.452,508.448,778.588,1092.351,1380.406
0.671,135.585,503.320,772.561,1086.405,1374.972
0.681,133.767,498.294,766.627,1080.524,1369.581
0.691,131.998,493.367,760.783,1074.706,1364.232
0.701,130.275,488.537,755.027,1068.951,1358.925
0.711,128.597,483.800,749.358,1063.257,1353.658
0.721,126.961,479.155,743.773,1057.623,1348.433
0.731,125.366,474.598,738.271,1052.048,1343.247
0.741,123.810,470.126,732.850,1046.532,1338.101
0.752,122.293,465.738,727.508,1041.074,1332.995
0.762,120.813,461.432,722.243,1035.672,1327.927
0.772,119.368,457.204,717.054,1030.326,1322.898
0.782,117.957,453.053,711.938,1025.035,1317.907
0.792,116.579,448.976,706.896,1019.797,1312.953
0.802,115.233,444.973,701.924,1014.614,1308.036
0.812,113.918,441.040,697.021,1009.482,1303.156
0.822,112.632,437.176,692.187,1004.402,1298.313
0.832,111.375,433.379,687.419,999.373,1293.505
0.842,110.146,429.648,682.717,994.395,1288.733
