K_eff_MPa,eta_Rek_V0.5L,eta_Rek_V1.0L,eta_Rek_V2.0L,eta_Rek_V5.0L
1683.95,0.9994,0.9997,0.9999,0.9999
1690.64,0.9994,0.9997,0.9999,0.9999
1697.32,0.9994,0.9997,0.9999,0.9999
1704.01,0.9994,0.9997,0.9999,0.9999
1710.70,0.9994,0.9997,0.9999,0.9999
1717.39,0.9994,0.9997,0.9999,0.9999
1724.08,0.9994,0.9997,0.9999,0.9999
1730.77,0.9994,0.9997,0.9999,0.9999
1737.46,0.9994,0.9997,0.9999,0.9999
1744.15,0.9994,0.9997,0.9999,0.9999
1750.84,0.9994,0.9997,0.9999,0.9999
1757.53,0.9994,0.9997,0.9999,0.9999
1764.21,0.9994,0.9997,0.9999,0.9999
1770.90,0.9994,0.9997,0.9999,0.9999
1777.59,0.9994,0.9997,0.9999,0.9999
1784.28,0.9994,0.9997,0.9999,0.9999
1790.97,0.9994,0.9997,0.9999,0.9999
1797.66,0.9994,0.9997,0.9999,0.9999
1804.35,0.9994,0.9997,0.9999,0.9999
1811.04,0.9994,0.9997,0.9999,0.9999
1817.73,0.9995,0.9997,0.9999,0.9999
1824.41,0.9995,0.9997,0.9999,0.9999
1831.10,0.9995,0.9997,0.9999,0.9999
1837.79,0.9995,0.9997,0.9999,0.9999
1844.48,0.9995,0.9997,0.9999,0.9999
1851.17,0.9995,0.9997,0.9999,0.9999
1857.86,0.9995,0.9997,0.9999,0.9999
1864.55,0.9995,0.9997,0.9999,0.9999
1871.24,0.9995,0.9997,0.9999,0.9999
1877.93,0.9995,0.9997,0.9999,0.9999
1884.62,0.9995,0.9997,0.9999,0.9999
1891.30,0.9995,0.9997,0.9999,0.9999
1897.99,0.9995,0.9997,0.9999,0.9999
1904.68,0.9995,0.9997,0.9999,0.9999
1911.37,0.9995,0.9997,0.9999,0.9999
1918.06,0.9995,0.9997,0.9999,0.9999
1924.75,0.9995,0.9997,0.9999,0.9999
1931.44,0.9995,0.9997,0.9999,0.9999
1938.13,0.9995,0.9997,0.9999,0.9999
1944.82,0.9995,0.9997,0.9999,0.9999
1951.51,0.9995,0.9997,0.9999,0.9999
1958.19,0.9995,0.9997,0.9999,0.9999
1964.88,0.9995,0.9997,0.9999,0.9999
1971.57,0.9995,0.9997,0.9999,0.9999
1978.26,0.9995,0.9997,0.9999,0.9999
1984.95,0.9995,0.9997,0.9999,0.9999
1991.64,0.9995,0.9997,0.9999,0.9999
1998.33,0.9995,0.9997,0.9999,0.9999
2005.02,0.9995,0.9998,0.9999,1.0000
2011.71,0.9995,0.9998,0.9999,1.0000
2018.39,0.9995,0.9998,0.9999,1.0000
2025.08,0.9995,0.9998,0.9999,1.0000
2031.77,0.9995,0.9998,0.9999,1.0000
2038.46,0.9995,0.9998,0.9999,1.0000
2045.15,0.9995,0.9998,0.9999,1.0000
2051.84,0.9995,0.9998,0.9999,1.0000
2058.53,0.9995,0.9998,0.9999,1.0000
2065.22,0.9995,0.9998,0.9999,1.0000
2071.91,0.9995,0.9998,0.9999,1.0000
2078.60,0.9995,0.9998,0.9999,1.0000
2085.28,0.9995,0.9998,0.9999,1.0000
2091.97,0.9995,0.9998,0.9999,1.0000
2098.66,0.9995,0.9998,0.9999,1.0000
2105.35,0.9995,0.9998,0.9999,1.0000
2112.04,0.9995,0.9998,0.9999,1.0000
2118.73,0.9995,0.9998,0.9999,1.0000
2125.42,0.9995,0.9998,0.9999,1.0000
2132.11,0.9995,0.9998,0.9999,1.0000
2138.80,0.9995,0.9998,0.9999,1.0000
2145.48,0.9995,0.9998,0.9999,1.0000
2152.17,0.9995,0.9998,0.9999,1.0000
2158.86,0.9995,0.9998,0.9999,1.0000
2165.55,0.9995,0.9998,0.9999,1.0000
2172.24,0.9995,0.9998,0.9999,1.0000
2178.93,0.9995,0.9998,0.9999,1.0000
2185.62,0.9995,0.9998,0.9999,1.0000
2192.31,0.9995,0.9998,0.9999,1.0000
2199.00,0.9995,0.9998,0.9999,1.0000
2205.69,0.9995,0.9998,0.9999,1.0000
2212.37,0.9995,0.9998,0.9999,1.0000
2219.06,0.9995,0.9998,0.9999,1.0000
2225.75,0.9996,0.9998,0.9999,1.0000
2232.44,0.9996,0.9998,0.9999,1.0000
2239.13,0.9996,0.9998,0.9999,1.0000
2245.82,0.9996,0.9998,0.9999,1.0000
2252.51,0.9996,0.9998,0.9999,1.0000
2259.20,0.9996,0.9998,0.9999,1.0000
2265.89,0.9996,0.9998,0.9999,1.0000
2272.58,0.9996,0.9998,0.9999,1.0000
2279.26,0.9996,0.9998,0.9999,1.0000
2285.95,0.9996,0.9998,0.9999,1.0000
2292.64,0.9996,0.9998,0.9999,1.0000
2299.33,0.9996,0.9998,0.9999,1.0000
2306.02,0.9996,0.9998,0.9999,1.0000
2312.71,0.9996,0.9998,0.9999,1.0000
2319.40,0.9996,0.9998,0.9999,1.0000
2326.09,0.9996,0.9998,0.9999,1.0000
2332.78,0.9996,0.9998,0.9999,1.0000
2339.46,0.9996,0.9998,0.9999,1.0000
2346.15,0.9996,0.9998,0.9999,1.0000
2352.84,0.9996,0.9998,0.9999,1.0000
2359.53,0.9996,0.9998,0.9999,1.0000
2366.22,0.9996,0.9998,0.9999,1.0000
2372.91,0.9996,0.9998,0.9999,1.0000
2379.60,0.9996,0.9998,0.9999,1.0000
2386.29,0.9996,0.9998,0.9999,1.0000
2392.98,0.9996,0.9998,0.9999,1.0000
2399.67,0.9996,0.9998,0.9999,1.0000
2406.35,0.9996,0.9998,0.9999,1.0000
2413.04,0.9996,0.9998,0.9999,1.0000
2419.73,0.9996,0.9998,0.9999,1.0000
2426.42,0.9996,0.9998,0.9999,1.0000
2433.11,0.9996,0.9998,0.9999,1.0000
2439.80,0.9996,0.9998,0.9999,1.0000
2446.49,0.9996,0.9998,0.9999,1.0000
2453.18,0.9996,0.9998,0.9999,1.0000
2459.87,0.9996,0.9998,0.9999,1.0000
2466.56,0.9996,0.9998,0.9999,1.0000
2473.24,0.9996,0.9998,0.9999,1.0000
2479.93,0.9996,0.9998,0.9999,1.0000
2486.62,0.9996,0.9998,0.9999,1.0000
2493.31,0.9996,0.9998,0.9999,1.0000
2500.00,0.9996,0.9998,0.9999,1.0000
