P_bar,eta_Mineralöl VG 10   (α_P = 1.5e-8 /Pa)_Pas,eta_Mineralöl VG 46   (α_P = 2.0e-8 /Pa)_Pas,eta_Mineralöl VG 100  (α_P = 2.5e-8 /Pa)_Pas,eta_Phosphatester HEP (α_P = 1.0e-8 /Pa)_Pas,eta_PAO / SHC         (α_P = 1.8e-8 /Pa)_Pas,f_R_Mineralöl VG 10   (α_P = 1.5e-8 /Pa)_Hz,f_R_Mineralöl VG 46   (α_P = 2.0e-8 /Pa)_Hz,f_R_Mineralöl VG 100  (α_P = 2.5e-8 /Pa)_Hz,f_R_Phosphatester HEP (α_P = 1.0e-8 /Pa)_Hz,f_R_PAO / SHC         (α_P = 1.8e-8 /Pa)_Hz
377.3,0.081006,3.357e+09,0.097823,2.780e+09,0.118130,2.302e+09,0.067081,4.054e+09,0.090713,2.998e+09
379.3,0.081251,3.347e+09,0.098216,2.769e+09,0.118724,2.291e+09,0.067216,4.046e+09,0.091042,2.987e+09
381.3,0.081495,3.337e+09,0.098611,2.758e+09,0.119321,2.279e+09,0.067351,4.038e+09,0.091371,2.977e+09
383.3,0.081741,3.327e+09,0.099008,2.747e+09,0.119921,2.268e+09,0.067486,4.030e+09,0.091702,2.966e+09
385.3,0.081988,3.317e+09,0.099406,2.736e+09,0.120524,2.257e+09,0.067621,4.022e+09,0.092034,2.955e+09
387.3,0.082235,3.307e+09,0.099806,2.725e+09,0.121131,2.245e+09,0.067757,4.014e+09,0.092367,2.945e+09
389.3,0.082483,3.297e+09,0.100207,2.714e+09,0.121740,2.234e+09,0.067893,4.006e+09,0.092701,2.934e+09
391.3,0.082731,3.287e+09,0.100610,2.703e+09,0.122352,2.223e+09,0.068030,3.998e+09,0.093036,2.923e+09
393.3,0.082981,3.278e+09,0.101014,2.692e+09,0.122967,2.212e+09,0.068166,3.990e+09,0.093373,2.913e+09
395.3,0.083231,3.268e+09,0.101421,2.682e+09,0.123586,2.201e+09,0.068303,3.982e+09,0.093711,2.902e+09
397.3,0.083482,3.258e+09,0.101829,2.671e+09,0.124207,2.190e+09,0.068441,3.974e+09,0.094050,2.892e+09
399.3,0.083733,3.248e+09,0.102238,2.660e+09,0.124832,2.179e+09,0.068578,3.966e+09,0.094390,2.881e+09
401.3,0.083986,3.238e+09,0.102649,2.650e+09,0.125460,2.168e+09,0.068716,3.958e+09,0.094732,2.871e+09
403.3,0.084239,3.229e+09,0.103062,2.639e+09,0.126091,2.157e+09,0.068854,3.950e+09,0.095075,2.861e+09
405.4,0.084493,3.219e+09,0.103476,2.628e+09,0.126725,2.146e+09,0.068992,3.942e+09,0.095419,2.850e+09
407.4,0.084748,3.209e+09,0.103893,2.618e+09,0.127362,2.135e+09,0.069131,3.934e+09,0.095764,2.840e+09
409.4,0.085003,3.200e+09,0.104310,2.607e+09,0.128003,2.125e+09,0.069270,3.926e+09,0.096110,2.830e+09
411.4,0.085259,3.190e+09,0.104730,2.597e+09,0.128647,2.114e+09,0.069409,3.918e+09,0.096458,2.820e+09
413.4,0.085516,3.180e+09,0.105151,2.587e+09,0.129294,2.104e+09,0.069548,3.911e+09,0.096807,2.809e+09
415.4,0.085774,3.171e+09,0.105574,2.576e+09,0.129944,2.093e+09,0.069688,3.903e+09,0.097158,2.799e+09
417.4,0.086033,3.161e+09,0.105998,2.566e+09,0.130597,2.083e+09,0.069828,3.895e+09,0.097509,2.789e+09
419.4,0.086292,3.152e+09,0.106425,2.556e+09,0.131254,2.072e+09,0.069968,3.887e+09,0.097862,2.779e+09
421.4,0.086552,3.142e+09,0.106853,2.545e+09,0.131914,2.062e+09,0.070109,3.879e+09,0.098216,2.769e+09
423.4,0.086813,3.133e+09,0.107282,2.535e+09,0.132578,2.051e+09,0.070249,3.872e+09,0.098571,2.759e+09
425.4,0.087075,3.123e+09,0.107714,2.525e+09,0.133245,2.041e+09,0.070391,3.864e+09,0.098928,2.749e+09
427.4,0.087337,3.114e+09,0.108147,2.515e+09,0.133915,2.031e+09,0.070532,3.856e+09,0.099286,2.739e+09
429.4,0.087601,3.105e+09,0.108582,2.505e+09,0.134588,2.021e+09,0.070674,3.848e+09,0.099645,2.729e+09
431.4,0.087865,3.095e+09,0.109019,2.495e+09,0.135265,2.011e+09,0.070816,3.841e+09,0.100006,2.720e+09
433.4,0.088130,3.086e+09,0.109457,2.485e+09,0.135945,2.001e+09,0.070958,3.833e+09,0.100368,2.710e+09
435.5,0.088395,3.077e+09,0.109897,2.475e+09,0.136629,1.991e+09,0.071100,3.825e+09,0.100731,2.700e+09
437.5,0.088662,3.068e+09,0.110339,2.465e+09,0.137316,1.981e+09,0.071243,3.818e+09,0.101096,2.690e+09
439.5,0.088929,3.058e+09,0.110783,2.455e+09,0.138007,1.971e+09,0.071386,3.810e+09,0.101461,2.681e+09
441.5,0.089197,3.049e+09,0.111228,2.445e+09,0.138701,1.961e+09,0.071530,3.802e+09,0.101829,2.671e+09
443.5,0.089466,3.040e+09,0.111676,2.435e+09,0.139399,1.951e+09,0.071673,3.795e+09,0.102197,2.661e+09
445.5,0.089736,3.031e+09,0.112125,2.426e+09,0.140100,1.941e+09,0.071817,3.787e+09,0.102567,2.652e+09
447.5,0.090006,3.022e+09,0.112576,2.416e+09,0.140804,1.932e+09,0.071962,3.779e+09,0.102938,2.642e+09
449.5,0.090278,3.013e+09,0.113028,2.406e+09,0.141512,1.922e+09,0.072106,3.772e+09,0.103310,2.633e+09
451.5,0.090550,3.004e+09,0.113483,2.397e+09,0.142224,1.912e+09,0.072251,3.764e+09,0.103684,2.623e+09
453.5,0.090823,2.995e+09,0.113939,2.387e+09,0.142939,1.903e+09,0.072396,3.757e+09,0.104059,2.614e+09
455.5,0.091096,2.986e+09,0.114397,2.377e+09,0.143658,1.893e+09,0.072542,3.749e+09,0.104436,2.604e+09
457.5,0.091371,2.977e+09,0.114857,2.368e+09,0.144381,1.884e+09,0.072687,3.742e+09,0.104814,2.595e+09
459.5,0.091647,2.968e+09,0.115319,2.358e+09,0.145107,1.874e+09,0.072833,3.734e+09,0.105193,2.585e+09
461.5,0.091923,2.959e+09,0.115783,2.349e+09,0.145837,1.865e+09,0.072980,3.727e+09,0.105574,2.576e+09
463.5,0.092200,2.950e+09,0.116249,2.340e+09,0.146570,1.856e+09,0.073126,3.719e+09,0.105956,2.567e+09
465.6,0.092478,2.941e+09,0.116716,2.330e+09,0.147307,1.846e+09,0.073273,3.712e+09,0.106339,2.558e+09
467.6,0.092757,2.932e+09,0.117186,2.321e+09,0.148048,1.837e+09,0.073420,3.704e+09,0.106724,2.548e+09
469.6,0.093036,2.923e+09,0.117657,2.312e+09,0.148793,1.828e+09,0.073568,3.697e+09,0.107110,2.539e+09
471.6,0.093317,2.915e+09,0.118130,2.302e+09,0.149541,1.819e+09,0.073716,3.690e+09,0.107498,2.530e+09
473.6,0.093598,2.906e+09,0.118605,2.293e+09,0.150293,1.810e+09,0.073864,3.682e+09,0.107887,2.521e+09
475.6,0.093880,2.897e+09,0.119082,2.284e+09,0.151049,1.801e+09,0.074012,3.675e+09,0.108277,2.512e+09
477.6,0.094163,2.888e+09,0.119561,2.275e+09,0.151809,1.792e+09,0.074161,3.667e+09,0.108669,2.503e+09
