r_nm,DeltaP_L_Mineralöl VG 46_Pa,DeltaP_L_Phosphatester HEP_Pa,DeltaP_L_Wasserglykol HFC_Pa,DeltaP_L_Esteröl HEES_Pa,DeltaP_L_Silikonöl_Pa,P_kav_Mineralöl VG 46_bar,P_kav_Phosphatester HEP_bar,P_kav_Wasserglykol HFC_bar,P_kav_Esteröl HEES_bar,P_kav_Silikonöl_bar
11.55,5193912.26,6925216.35,11253476.56,5540173.08,3635738.58,51.9441,69.2572,112.5398,55.4067,36.3624
11.82,5075391.48,6767188.64,10996681.54,5413750.91,3552774.03,50.7589,67.6769,109.9718,54.1425,35.5327
12.10,4959575.24,6612766.99,10745746.36,5290213.59,3471702.67,49.6008,66.1327,107.4625,52.9071,34.7220
12.38,4846401.84,6461869.12,10500537.32,5169495.30,3392481.29,48.4690,64.6237,105.0104,51.7000,33.9298
12.67,4735810.96,6314414.61,10260923.74,5051531.69,3315067.67,47.3631,63.1491,102.6142,50.5203,33.1557
12.97,4627743.67,6170324.89,10026777.95,4936259.92,3239420.57,46.2824,61.7082,100.2728,49.3676,32.3992
13.27,4522142.39,6029523.18,9797975.18,4823618.55,3165499.67,45.2264,60.3002,97.9848,48.2412,31.6600
13.58,4418950.84,5891934.45,9574393.49,4713547.56,3093265.59,44.1945,58.9243,95.7489,47.1405,30.9377
13.89,4318114.04,5757485.38,9355913.75,4605988.31,3022679.83,43.1861,57.5799,93.5641,46.0649,30.2318
14.22,4219578.25,5626104.33,9142419.54,4500883.46,2953704.77,42.2008,56.2660,91.4292,45.0138,29.5420
14.55,4123290.96,5497721.28,8933797.09,4398177.03,2886303.67,41.2379,54.9822,89.3430,43.9868,28.8680
14.89,4029200.87,5372267.83,8729935.23,4297814.27,2820440.61,40.2970,53.7277,87.3044,42.9831,28.2094
15.24,3937257.84,5249677.13,8530725.33,4199741.70,2756080.49,39.3776,52.5018,85.3123,42.0024,27.5658
15.59,3847412.88,5129883.84,8336061.23,4103907.07,2693189.01,38.4791,51.3038,83.3656,41.0441,26.9369
15.96,3759618.10,5012824.13,8145839.21,4010259.31,2631732.67,37.6012,50.1332,81.4634,40.1076,26.3223
16.33,3673826.72,4898435.63,7959957.90,3918748.51,2571678.71,36.7433,48.9894,79.6046,39.1925,25.7218
16.71,3589993.04,4786657.38,7778318.25,3829325.91,2512995.13,35.9049,47.8716,77.7882,38.2983,25.1350
17.10,3508072.37,4677429.82,7600823.46,3741943.86,2455650.66,35.0857,46.7793,76.0132,37.4244,24.5615
17.50,3428021.06,4570694.74,7427378.96,3656555.79,2399614.74,34.2852,45.7119,74.2788,36.5706,24.0011
17.91,3349796.45,4466395.27,7257892.31,3573116.22,2344857.52,33.5030,44.6690,72.5839,35.7362,23.4536
18.33,3273356.87,4364475.82,7092273.22,3491580.66,2291349.81,32.7386,43.6498,70.9277,34.9208,22.9185
18.76,3198661.57,4264882.10,6930433.41,3411905.68,2239063.10,31.9916,42.6538,69.3093,34.1241,22.3956
19.20,3125670.76,4167561.02,6772286.65,3334048.81,2187969.53,31.2617,41.6806,67.7279,33.3455,21.8847
19.64,3054345.54,4072460.72,6617748.67,3257968.58,2138041.88,30.5485,40.7296,66.1825,32.5847,21.3854
20.10,2984647.90,3979530.54,6466737.12,3183624.43,2089253.53,29.8515,39.8003,64.6724,31.8412,20.8975
20.57,2916540.71,3888720.94,6319171.53,3110976.75,2041578.49,29.1704,38.8922,63.1967,31.1148,20.4208
21.05,2849987.66,3799983.55,6174973.27,3039986.84,1994991.36,28.5049,38.0048,61.7547,30.4049,19.9549
21.54,2784953.30,3713271.07,6034065.48,2970616.85,1949467.31,27.8545,37.1377,60.3457,29.7112,19.4997
22.05,2721402.97,3628537.29,5896373.10,2902829.83,1904982.08,27.2190,36.2904,58.9687,29.0333,19.0548
22.56,2659302.81,3545737.07,5761822.75,2836589.66,1861511.96,26.5980,35.4624,57.6232,28.3709,18.6201
