f_Hz,Kprime_VG 10  (η = 10 mPa·s)_GPa,Kdoubleprime_VG 10  (η = 10 mPa·s)_GPa,tand_VG 10  (η = 10 mPa·s),Kprime_VG 22  (η = 22 mPa·s)_GPa,Kdoubleprime_VG 22  (η = 22 mPa·s)_GPa,tand_VG 22  (η = 22 mPa·s),Kprime_VG 46  (η = 46 mPa·s)_GPa,Kdoubleprime_VG 46  (η = 46 mPa·s)_GPa,tand_VG 46  (η = 46 mPa·s),Kprime_VG 100 (η = 100 mPa·s)_GPa,Kdoubleprime_VG 100 (η = 100 mPa·s)_GPa,tand_VG 100 (η = 100 mPa·s),Kprime_VG 320 (η = 320 mPa·s)_GPa,Kdoubleprime_VG 320 (η = 320 mPa·s)_GPa,tand_VG 320 (η = 320 mPa·s)
5.838e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001
6.044e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001
6.256e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001
6.477e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001
6.705e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001
6.941e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001
7.185e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001
7.438e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001
7.700e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001
7.971e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001
