t_h,delta_eta_Pas,K_alt_MPa,K_ratio,lambda_ox,lambda_fri,lambda_cav,lambda_tot
931.9,0.27956,945.3226,0.6302,394270744567820672.0000,0.0000,0.1355,394270744567820672.0000
941.9,0.28257,942.3485,0.6282,609532188463672448.0000,0.0000,0.1355,609532188463672448.0000
951.9,0.28557,939.3901,0.6263,942320712079634688.0000,0.0000,0.1355,942320712079634688.0000
961.9,0.28858,936.4472,0.6243,1456803006010882304.0000,0.0000,0.1355,1456803006010882304.0000
971.9,0.29158,933.5197,0.6223,2252179084166221568.0000,0.0000,0.1355,2252179084166221568.0000
982.0,0.29459,930.6072,0.6204,3481809555737422336.0000,0.0000,0.1355,3481809555737422336.0000
992.0,0.29760,927.7095,0.6185,5382785883970929664.0000,0.0000,0.1355,5382785883970929664.0000
1002.0,0.30060,924.8264,0.6166,8321645227531731968.0000,0.0000,0.1355,8321645227531731968.0000
1012.0,0.30361,921.9577,0.6146,12865044381408024576.0000,0.0000,0.1355,12865044381408024576.0000
1022.0,0.30661,919.1031,0.6127,19889019828436750336.0000,0.0000,0.1355,19889019828436750336.0000
1032.1,0.30962,916.2625,0.6108,30747900901734719488.0000,0.0000,0.1355,30747900901734719488.0000
1042.1,0.31263,913.4357,0.6090,47535445085692559360.0000,0.0000,0.1355,47535445085692559360.0000
1052.1,0.31563,910.6224,0.6071,73488546314633486336.0000,0.0000,0.1355,73488546314633486336.0000
1062.1,0.31864,907.8225,0.6052,113611357371373469696.0000,0.0000,0.1355,113611357371373469696.0000
1072.1,0.32164,905.0358,0.6034,175640166679907172352.0000,0.0000,0.1355,175640166679907172352.0000
1082.2,0.32465,902.2620,0.6015,271535072418017247232.0000,0.0000,0.1355,271535072418017247232.0000
1092.2,0.32766,899.5011,0.5997,419786071413997174784.0000,0.0000,0.1355,419786071413997174784.0000
1102.2,0.33066,896.7528,0.5978,648978211852927631360.0000,0.0000,0.1355,648978211852927631360.0000
1112.2,0.33367,894.0170,0.5960,1003303225476587323392.0000,0.0000,0.1355,1003303225476587323392.0000
1122.2,0.33667,891.2935,0.5942,1551080365822636720128.0000,0.0000,0.1355,1551080365822636720128.0000
1132.3,0.33968,888.5821,0.5924,2397929399756152373248.0000,0.0000,0.1355,2397929399756152373248.0000
1142.3,0.34269,885.8826,0.5906,3707135705483057823744.0000,0.0000,0.1355,3707135705483057823744.0000
1152.3,0.34569,883.1950,0.5888,5731134177788885467136.0000,0.0000,0.1355,5731134177788885467136.0000
1162.3,0.34870,880.5191,0.5870,8860182516447730204672.0000,0.0000,0.1355,8860182516447730204672.0000
1172.3,0.35170,877.8546,0.5852,13697608848350682021888.0000,0.0000,0.1355,13697608848350682021888.0000
1182.4,0.35471,875.2015,0.5835,21176142569762874982400.0000,0.0000,0.1355,21176142569762874982400.0000
1192.4,0.35772,872.5597,0.5817,32737758765021124362240.0000,0.0000,0.1355,32737758765021124362240.0000
1202.4,0.36072,869.9289,0.5800,50611712941857848688640.0000,0.0000,0.1355,50611712941857848688640.0000
1212.4,0.36373,867.3090,0.5782,78244375410510376468480.0000,0.0000,0.1355,78244375410510376468480.0000
1222.4,0.36673,864.7000,0.5765,120963743914654166941696.0000,0.0000,0.1355,120963743914654166941696.0000
1232.5,0.36974,862.1016,0.5747,187006762659703217455104.0000,0.0000,0.1355,187006762659703217455104.0000
1242.5,0.37275,859.5138,0.5730,289107530477367220764672.0000,0.0000,0.1355,289107530477367220764672.0000
1252.5,0.37575,856.9363,0.5713,446952628824546587181056.0000,0.0000,0.1355,446952628824546587181056.0000
1262.5,0.37876,854.3692,0.5696,690976994211541714731008.0000,0.0000,0.1355,690976994211541714731008.0000
1272.5,0.38176,851.8122,0.5679,1068232237016454793265152.0000,0.0000,0.1355,1068232237016454793265152.0000
1282.6,0.38477,849.2653,0.5662,1651458907837076676280320.0000,0.0000,0.1355,1651458907837076676280320.0000
1292.6,0.38778,846.7283,0.5645,2553111982364222631706624.0000,0.0000,0.1355,2553111982364222631706624.0000
1302.6,0.39078,844.2012,0.5628,3947043891651487859736576.0000,0.0000,0.1355,3947043891651487859736576.0000
1312.6,0.39379,841.6837,0.5611,6102025915916455759577088.0000,0.0000,0.1355,6102025915916455759577088.0000
1322.6,0.39679,839.1758,0.5595,9433571376612274075598848.0000,0.0000,0.1355,9433571376612274075598848.0000
1332.7,0.39980,836.6774,0.5578,14584052926670445714866176.0000,0.0000,0.1355,14584052926670445714866176.0000
1342.7,0.40281,834.1884,0.5561,22546561771423553648852992.0000,0.0000,0.1355,22546561771423553648852992.0000
1352.7,0.40581,831.7086,0.5545,34856390762473342940217344.0000,0.0000,0.1355,34856390762473342940217344.0000
1362.7,0.40882,829.2381,0.5528,53887062218335876968087552.0000,0.0000,0.1355,53887062218335876968087552.0000
1372.7,0.41182,826.7765,0.5512,83307979139624807010664448.0000,0.0000,0.1355,83307979139624807010664448.0000
1382.8,0.41483,824.3240,0.5495,128791941936049683632750592.0000,0.0000,0.1355,128791941936049683632750592.0000
1392.8,0.41784,821.8803,0.5479,199108950654753568341360640.0000,0.0000,0.1355,199108950654753568341360640.0000
1402.8,0.42084,819.4454,0.5463,307817194421392124544024576.0000,0.0000,0.1355,307817194421392124544024576.0000
1412.8,0.42385,817.0192,0.5447,475877276585866224463773696.0000,0.0000,0.1355,475877276585866224463773696.0000
1422.8,0.42685,814.6015,0.5431,735693737955316201976496128.0000,0.0000,0.1355,735693737955316201976496128.0000
1432.9,0.42986,812.1924,0.5415,1137363145283506751565463552.0000,0.0000,0.1355,1137363145283506751565463552.0000
1442.9,0.43287,809.7917,0.5399,1758333471539974269927686144.0000,0.0000,0.1355,1758333471539974269927686144.0000
1452.9,0.43587,807.3992,0.5383,2718337243437872305284317184.0000,0.0000,0.1355,2718337243437872305284317184.0000
1462.9,0.43888,805.0151,0.5367,4202477794266040746949738496.0000,0.0000,0.1355,4202477794266040746949738496.0000
1472.9,0.44188,802.6390,0.5351,6496920002818878513010966528.0000,0.0000,0.1355,6496920002818878513010966528.0000
1483.0,0.44489,800.2711,0.5335,10044067235910638702937767936.0000,0.0000,0.1355,10044067235910638702937767936.0000
1493.0,0.44790,797.9111,0.5319,15527863448482772266508091392.0000,0.0000,0.1355,15527863448482772266508091392.0000
1503.0,0.45090,795.5591,0.5304,24005667984049544610942287872.0000,0.0000,0.1355,24005667984049544610942287872.0000
1513.0,0.45391,793.2148,0.5288,37112130543414355015363461120.0000,0.0000,0.1355,37112130543414355015363461120.0000
1523.0,0.45691,790.8783,0.5273,57374376517519791747351183360.0000,0.0000,0.1355,57374376517519791747351183360.0000
1533.1,0.45992,788.5495,0.5257,88699275212003911945875881984.0000,0.0000,0.1355,88699275212003911945875881984.0000
1543.1,0.46293,786.2283,0.5242,137126743690755048861002104832.0000,0.0000,0.1355,137126743690755048861002104832.0000
1553.1,0.46593,783.9146,0.5226,211994334680710748250161807360.0000,0.0000,0.1355,211994334680710748250161807360.0000
1563.1,0.46894,781.6084,0.5211,327737658804678010852643700736.0000,0.0000,0.1355,327737658804678010852643700736.0000
1573.1,0.47194,779.3095,0.5195,506673789941361103480347951104.0000,0.0000,0.1355,506673789941361103480347951104.0000
1583.2,0.47495,777.0180,0.5180,783304336614351180644713758720.0000,0.0000,0.1355,783304336614351180644713758720.0000
1593.2,0.47796,774.7337,0.5165,1210967877043449598531625549824.0000,0.0000,0.1355,1210967877043449598531625549824.0000
1603.2,0.48096,772.4565,0.5150,1872124448550169271216516366336.0000,0.0000,0.1355,1872124448550169271216516366336.0000
1613.2,0.48397,770.1865,0.5135,2894255097349350229506336489472.0000,0.0000,0.1355,2894255097349350229506336489472.0000
1623.2,0.48697,767.9235,0.5119,4474442163831512934407909408768.0000,0.0000,0.1355,4474442163831512934407909408768.0000
1633.3,0.48998,765.6675,0.5104,6917369756318067994155682889728.0000,0.0000,0.1355,6917369756318067994155682889728.0000
1643.3,0.49299,763.4184,0.5089,10694071482789419947010889351168.0000,0.0000,0.1355,10694071482789419947010889351168.0000
1653.3,0.49599,761.1761,0.5075,16532752897090883421614114865152.0000,0.0000,0.1355,16532752897090883421614114865152.0000
1663.3,0.49900,758.9406,0.5060,25559200609061561464469768372224.0000,0.0000,0.1355,25559200609061561464469768372224.0000
1673.3,0.50200,756.7119,0.5045,39513851071298889371125286961152.0000,0.0000,0.1355,39513851071298889371125286961152.0000
1683.4,0.50501,754.4898,0.5030,61087373207256327898118230114304.0000,0.0000,0.1355,61087373207256327898118230114304.0000
1693.4,0.50802,752.2743,0.5015,94439470317109553527972536778752.0000,0.0000,0.1355,94439470317109553527972536778752.0000
1703.4,0.51102,750.0654,0.5000,146000934162219807378565270339584.0000,0.0000,0.1355,146000934162219807378565270339584.0000
1713.4,0.51403,747.8629,0.4986,225713599458641840448690033000448.0000,0.0000,0.1355,225713599458641840448690033000448.0000
1723.4,0.51703,745.6669,0.4971,348947280871289411396922540818432.0000,0.0000,0.1355,348947280871289411396922540818432.0000
1733.5,0.52004,743.4772,0.4957,539463307126845412306176637403136.0000,0.0000,0.1355,539463307126845412306176637403136.0000
1743.5,0.52305,741.2939,0.4942,833996066711274386440632292868096.0000,0.0000,0.1355,833996066711274386440632292868096.0000
1753.5,0.52605,739.1168,0.4927,1289335956868537067702058924113920.0000,0.0000,0.1355,1289335956868537067702058924113920.0000
1763.5,0.52906,736.9460,0.4913,1993279436232181907576366592688128.0000,0.0000,0.1355,1993279436232181907576366592688128.0000
1773.5,0.53206,734.7813,0.4899,3081557517837306464500411816476672.0000,0.0000,0.1355,3081557517837306464500411816476672.0000
1783.6,0.53507,732.6227,0.4884,4764006773525370310558549322760192.0000,0.0000,0.1355,4764006773525370310558549322760192.0000
1793.6,0.53808,730.4701,0.4870,7365029017574698702387334600458240.0000,0.0000,0.1355,7365029017574698702387334600458240.0000
1803.6,0.54108,728.3236,0.4855,11386140912132966194542711056367616.0000,0.0000,0.1355,11386140912132966194542711056367616.0000
1813.6,0.54409,726.1830,0.4841,17602674010052971207044891144093696.0000,0.0000,0.1355,17602674010052971207044891144093696.0000
1823.6,0.54709,724.0484,0.4827,27213270474636119360882505618030592.0000,0.0000,0.1355,27213270474636119360882505618030592.0000
1833.7,0.55010,721.9195,0.4813,42070999525569990453044698821951488.0000,0.0000,0.1355,42070999525569990453044698821951488.0000
1843.7,0.55311,719.7965,0.4799,65040657378178571341337207450370048.0000,0.0000,0.1355,65040657378178571341337207450370048.0000
1853.7,0.55611,717.6793,0.4785,100551143540445770262295446269460480.0000,0.0000,0.1355,100551143540445770262295446269460480.0000
1863.7,0.55912,715.5678,0.4770,155449420022063705398480939056627712.0000,0.0000,0.1355,155449420022063705398480939056627712.0000
