t_h,delta_eta_Pas,K_alt_MPa,K_ratio,lambda_ox,lambda_fri,lambda_cav,lambda_tot
1873.7,0.56212,713.4619,0.4756,240320709783623630128858001024483328.0000,0.0000,0.1355,240320709783623630128858001024483328.0000
1883.8,0.56513,711.3617,0.4742,371529488773313899832358890958225408.0000,0.0000,0.1355,371529488773313899832358890958225408.0000
1893.8,0.56814,709.2670,0.4728,574374805868545931089179766253682688.0000,0.0000,0.1355,574374805868545931089179766253682688.0000
1903.8,0.57114,707.1779,0.4715,887968324414269778126494768492969984.0000,0.0000,0.1355,887968324414269778126494768492969984.0000
1913.8,0.57415,705.0942,0.4701,1372775645983927042877532719443607552.0000,0.0000,0.1355,1372775645983927042877532719443607552.0000
1923.8,0.57715,703.0161,0.4687,2122274998322343001293436828356968448.0000,0.0000,0.1355,2122274998322343001293436828356968448.0000
1933.9,0.58016,700.9433,0.4673,3280981259888234138705362675883311104.0000,0.0000,0.1355,3280981259888234138705362675883311104.0000
1943.9,0.58317,698.8758,0.4659,5072310627155800219013705558040510464.0000,0.0000,0.1355,5072310627155800219013705558040510464.0000
1953.9,0.58617,696.8138,0.4645,7841658656481850575286558626001453056.0000,0.0000,0.1355,7841658656481850575286558626001453056.0000
1963.9,0.58918,694.7569,0.4632,12122997782424427409439300527786557440.0000,0.0000,0.1355,12122997782424427409439300527786557440.0000
1973.9,0.59218,692.7054,0.4618,18741835327298491638844514232533254144.0000,0.0000,0.1355,18741835327298491638844514232533254144.0000
1984.0,0.59519,690.6590,0.4604,28974383872676702807030928015290793984.0000,0.0000,0.1355,28974383872676702807030928015290793984.0000
1994.0,0.59820,688.6178,0.4591,44793634462171856425045531450698366976.0000,0.0000,0.1355,44793634462171856425045531450698366976.0000
2004.0,0.60120,686.5817,0.4577,69249779292901651020911954867462864896.0000,0.0000,0.1355,69249779292901651020911954867462864896.0000
2014.0,0.60421,684.5507,0.4564,107058335178526486601955751030127853568.0000,0.0000,0.1355,107058335178526486601955751030127853568.0000
2024.0,0.60721,682.5247,0.4550,165509366935598192108215567137967702016.0000,0.0000,0.1355,165509366935598192108215567137967702016.0000
2034.1,0.61022,680.5037,0.4537,255873122795544832702502220079468380160.0000,0.0000,0.1355,255873122795544832702502220079468380160.0000
2044.1,0.61323,678.4878,0.4523,395573109735950188567856407716921606144.0000,0.0000,0.1355,395573109735950188567856407716921606144.0000
2054.1,0.61623,676.4767,0.4510,611545610717410018100297430096572055552.0000,0.0000,0.1355,611545610717410018100297430096572055552.0000
2064.1,0.61924,674.4706,0.4496,945433409862898732444872104873016950784.0000,0.0000,0.1355,945433409862898732444872104873016950784.0000
2074.1,0.62224,672.4693,0.4483,1461615154814717017782330464390638206976.0000,0.0000,0.1355,1461615154814717017782330464390638206976.0000
2084.2,0.62525,670.4728,0.4470,2259618539494860540815998845098523623424.0000,0.0000,0.1355,2259618539494860540815998845098523623424.0000
2094.2,0.62826,668.4811,0.4457,3493310757766658672639471826860093997056.0000,0.0000,0.1355,3493310757766658672639471826860093997056.0000
2104.2,0.63126,666.4942,0.4443,5400566439438030250894013610873675841536.0000,0.0000,0.1355,5400566439438030250894013610873675841536.0000
2114.2,0.63427,664.5121,0.4430,8349133498054674079304741450633359392768.0000,0.0000,0.1355,8349133498054674079304741450633359392768.0000
2124.2,0.63727,662.5346,0.4417,12907540523765751506556516967557137170432.0000,0.0000,0.1355,12907540523765751506556516967557137170432.0000
2134.3,0.64028,660.5617,0.4404,19954717745438534096740759788663779360768.0000,0.0000,0.1355,19954717745438534096740759788663779360768.0000
2144.3,0.64329,658.5935,0.4391,30849468151345131330570919324463329705984.0000,0.0000,0.1355,30849468151345131330570919324463329705984.0000
2154.3,0.64629,656.6299,0.4378,47692465378940533923683597001923699408896.0000,0.0000,0.1355,47692465378940533923683597001923699408896.0000
2164.3,0.64930,654.6709,0.4364,73731295553056827515483821889649977065472.0000,0.0000,0.1355,73731295553056827515483821889649977065472.0000
2174.3,0.65230,652.7164,0.4351,113986641301476298134805993332941214711808.0000,0.0000,0.1355,113986641301476298134805993332941214711808.0000
2184.4,0.65531,650.7663,0.4338,176220345753195008302581982520044972670976.0000,0.0000,0.1355,176220345753195008302581982520044972670976.0000
2194.4,0.65832,648.8208,0.4325,272432013987021239255330313374911621496832.0000,0.0000,0.1355,272432013987021239255330313374911621496832.0000
2204.4,0.66132,646.8797,0.4313,421172719459817385369120675551477627879424.0000,0.0000,0.1355,421172719459817385369120675551477627879424.0000
